LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. ? rate
,,,,,,,,,(frame),(frame),(frame),( ),( ),( ),( ),( /frame),( /frame),( /frame),( /frame),( /frame),(quality),( ),( ),,( /frame),,(rad/frame)
Track_14349,1,1,71,4,0,0,0,2,76.0,0.0,76.0,24.522026790532347,994.5468363628065,200.92690756301542,0.0,4.814025807623089,16.23814242986022,0.2539441868295699,3.975490470408857,3.5313272297251515,14114.633802816901,348.76403961249406,35.85763462991345,0.07031122479765507,0.3226582472438467,0.06702461933895577,1.5775644779550149
Track_14350,2,2,180,1,0,0,0,1,180.0,0.0,180.0,31.145071124562175,768.8475199855752,695.5486757810911,0.0,5.0920241830476805,19.046915692094522,0.20238409476192037,4.16864638550616,3.576425416675132,28428.566666666666,911.674712860297,46.82685515273987,0.03416248217179056,0.1730281729142343,0.03398023392942203,2.063388255395301
Track_14352,4,4,180,1,0,0,0,1,180.0,0.0,180.0,40.82388976050531,813.503987405769,907.0806265344693,0.0,4.528112486712046,13.303427754019125,0.2418453400735626,4.1114064345602,2.5168947745164707,23277.4,812.4435084756822,44.24543026348272,0.050248281061534554,0.22679938755836282,0.050086959682189,1.9141103119774678
Track_14355,7,7,159,2,0,0,0,1,160.0,0.0,160.0,51.73334943283281,543.997475590033,448.8640825698846,0.0,5.22578966925029,15.573909786967468,0.40544264289284226,4.12631069530212,3.7890804889382665,17020.830188679247,830.5146259404055,57.75300647805445,0.062290714476285446,0.3233334339552051,0.061872645938616896,1.8077685043688219
Track_14356,8,8,177,3,0,0,0,2,180.0,0.0,180.0,19.22811994180837,438.7831960074877,871.0209738131786,0.0,3.113042937023903,16.25455046508904,0.19209339412467594,2.651701481630979,2.1768381941662085,16932.06779661017,555.3456686661923,30.198795483476694,0.034623696603216014,0.10682288856560206,0.03431462100799859,1.8716556595090472
Track_14357,9,9,72,0,0,0,0,0,71.0,0.0,71.0,22.150681569493614,653.5098325471797,227.3826278576314,0.0,8.485985914793208,24.170526801564996,0.32094872637074673,7.943854079049456,5.761718569275562,18914.333333333332,602.5049999503174,33.28746839647574,0.03676431161786236,0.3119814305562481,0.03676431161786234,1.8852632810079777
Track_14359,11,11,180,1,0,0,0,1,180.0,0.0,180.0,12.908581545375295,45.59097942958081,947.8726193063645,0.0,6.437579348748109,26.616968973039864,0.3452721132257336,4.610779860877799,5.26810124271944,14328.383333333333,1157.3721546604916,27.31758367640895,0.011153354168229452,0.07171434191875165,0.011139954637250048,1.8754857084605598
Track_14362,14,14,179,2,0,0,0,1,180.0,0.0,180.0,20.099355470068588,226.1152897285854,1149.7892020427728,0.0,2.942860115791306,9.741108836956087,0.2815330590806342,2.338493774132792,1.9851075228631128,17403.09497206704,527.9734040145324,36.352380691722544,0.038068878692070166,0.11166308594482549,0.03794372873710322,1.9177745812750975
