,cell number,GFP positive,GFP Value,frame Number,area per timestep
0,1,False,100.33199601235198,0,687.2947469999999
1,1,False,100.33199601235198,1,665.459919
2,1,False,100.33199601235198,2,660.2691239999999
3,1,False,100.33199601235198,3,657.556515
4,1,False,100.33199601235198,4,649.1172869999999
5,1,False,100.33199601235198,5,654.7099499999999
6,1,False,100.33199601235198,6,632.004408
7,1,False,100.33199601235198,7,670.751181
8,1,False,100.33199601235198,8,918.737226
9,1,False,100.33199601235198,9,916.326018
10,1,False,100.33199601235198,10,1069.035858
11,1,False,100.33199601235198,11,945.5954039999999
12,1,False,100.33199601235198,12,936.921753
13,1,False,100.33199601235198,13,954.637434
14,1,False,100.33199601235198,14,0.0
15,1,False,100.33199601235198,15,0.0
16,1,False,100.33199601235198,16,0.0
17,1,False,100.33199601235198,17,0.0
18,1,False,100.33199601235198,18,0.0
19,1,False,100.33199601235198,19,0.0
20,1,False,100.33199601235198,20,0.0
21,1,False,100.33199601235198,21,0.0
22,1,False,100.33199601235198,22,0.0
23,1,False,100.33199601235198,23,0.0
24,1,False,100.33199601235198,24,0.0
25,1,False,100.33199601235198,25,0.0
26,1,False,100.33199601235198,26,0.0
27,1,False,100.33199601235198,27,0.0
28,1,False,100.33199601235198,28,0.0
29,1,False,100.33199601235198,29,0.0
30,1,False,100.33199601235198,30,0.0
31,1,False,100.33199601235198,31,0.0
32,1,False,100.33199601235198,32,0.0
33,1,False,100.33199601235198,33,0.0
34,1,False,100.33199601235198,34,0.0
35,1,False,100.33199601235198,35,0.0
36,1,False,100.33199601235198,36,0.0
37,1,False,100.33199601235198,37,0.0
38,1,False,100.33199601235198,38,0.0
39,1,False,100.33199601235198,39,0.0
40,1,False,100.33199601235198,40,0.0
41,1,False,100.33199601235198,41,0.0
42,1,False,100.33199601235198,42,0.0
43,1,False,100.33199601235198,43,0.0
44,1,False,100.33199601235198,44,0.0
45,1,False,100.33199601235198,45,0.0
46,1,False,100.33199601235198,46,0.0
47,1,False,100.33199601235198,47,0.0
48,1,False,100.33199601235198,48,0.0
49,1,False,100.33199601235198,49,0.0
50,2,False,100.34567435651864,0,320.791131
51,2,False,100.34567435651864,1,306.390861
52,2,False,100.34567435651864,2,280.73828699999996
53,2,False,100.34567435651864,3,307.96484399999997
54,2,False,100.34567435651864,4,333.58392899999996
55,2,False,100.34567435651864,5,329.129892
56,2,False,100.34567435651864,6,384.721632
57,2,False,100.34567435651864,7,445.202766
58,2,False,100.34567435651864,8,567.1697039999999
59,2,False,100.34567435651864,9,500.225193
60,2,False,100.34567435651864,10,375.813558
61,2,False,100.34567435651864,11,620.350236
62,2,False,100.34567435651864,12,518.677632
63,2,False,100.34567435651864,13,515.362221
64,2,False,100.34567435651864,14,510.774228
65,2,False,100.34567435651864,15,409.33604699999995
66,2,False,100.34567435651864,16,532.341144
67,2,False,100.34567435651864,17,565.763166
68,2,False,100.34567435651864,18,568.542753
69,2,False,100.34567435651864,19,403.64291699999995
70,2,False,100.34567435651864,20,591.717141
71,2,False,100.34567435651864,21,443.39435999999995
72,2,False,100.34567435651864,22,483.27975899999996
73,2,False,100.34567435651864,23,618.5753189999999
74,2,False,100.34567435651864,24,606.8206799999999
75,2,False,100.34567435651864,25,395.438112
76,2,False,100.34567435651864,26,407.661597
77,2,False,100.34567435651864,27,0.0
78,2,False,100.34567435651864,28,0.0
79,2,False,100.34567435651864,29,0.0
80,2,False,100.34567435651864,30,0.0
81,2,False,100.34567435651864,31,0.0
82,2,False,100.34567435651864,32,0.0
83,2,False,100.34567435651864,33,0.0
84,2,False,100.34567435651864,34,0.0
85,2,False,100.34567435651864,35,0.0
86,2,False,100.34567435651864,36,0.0
87,2,False,100.34567435651864,37,0.0
88,2,False,100.34567435651864,38,0.0
89,2,False,100.34567435651864,39,0.0
90,2,False,100.34567435651864,40,0.0
91,2,False,100.34567435651864,41,0.0
92,2,False,100.34567435651864,42,0.0
93,2,False,100.34567435651864,43,0.0
94,2,False,100.34567435651864,44,0.0
95,2,False,100.34567435651864,45,0.0
96,2,False,100.34567435651864,46,0.0
97,2,False,100.34567435651864,47,0.0
98,2,False,100.34567435651864,48,0.0
99,2,False,100.34567435651864,49,0.0
100,3,False,100.27854109686346,0,569.212533
101,3,False,100.27854109686346,1,574.2023939999999
102,3,False,100.27854109686346,2,577.082448
103,3,False,100.27854109686346,3,587.028681
104,3,False,100.27854109686346,4,575.1735749999999
105,3,False,100.27854109686346,5,577.68525
106,3,False,100.27854109686346,6,545.8706999999999
107,3,False,100.27854109686346,7,528.45642
108,3,False,100.27854109686346,8,547.277238
109,3,False,100.27854109686346,9,516.6348029999999
110,3,False,100.27854109686346,10,590.9468939999999
111,3,False,100.27854109686346,11,575.207064
112,3,False,100.27854109686346,12,566.801325
113,3,False,100.27854109686346,13,596.472579
114,3,False,100.27854109686346,14,549.152622
115,3,False,100.27854109686346,15,548.5163309999999
116,3,False,100.27854109686346,16,562.179843
117,3,False,100.27854109686346,17,514.05615
118,3,False,100.27854109686346,18,528.0210629999999
119,3,False,100.27854109686346,19,560.5053929999999
120,3,False,100.27854109686346,20,550.2242699999999
121,3,False,100.27854109686346,21,525.174498
122,3,False,100.27854109686346,22,488.67148799999995
123,3,False,100.27854109686346,23,569.547423
124,3,False,100.27854109686346,24,543.392514
125,3,False,100.27854109686346,25,574.537284
126,3,False,100.27854109686346,26,566.9352809999999
127,3,False,100.27854109686346,27,579.393189
128,3,False,100.27854109686346,28,574.9391519999999
129,3,False,100.27854109686346,29,520.854417
130,3,False,100.27854109686346,30,515.7975779999999
131,3,False,100.27854109686346,31,598.4484299999999
132,3,False,100.27854109686346,32,537.063093
133,3,False,100.27854109686346,33,545.904189
134,3,False,100.27854109686346,34,574.403328
135,3,False,100.27854109686346,35,543.760893
136,3,False,100.27854109686346,36,636.458445
137,3,False,100.27854109686346,37,632.674188
138,3,False,100.27854109686346,38,654.6764609999999
139,3,False,100.27854109686346,39,583.244424
140,3,False,100.27854109686346,40,556.7546249999999
141,3,False,100.27854109686346,41,528.054552
142,3,False,100.27854109686346,42,577.0154699999999
143,3,False,100.27854109686346,43,559.333278
144,3,False,100.27854109686346,44,579.326211
145,3,False,100.27854109686346,45,555.046686
146,3,False,100.27854109686346,46,513.955683
147,3,False,100.27854109686346,47,561.9789089999999
148,3,False,100.27854109686346,48,549.387045
149,3,False,100.27854109686346,49,564.3901169999999
150,4,False,100.2267452193076,0,57.266189999999995
151,4,False,100.2267452193076,1,48.425093999999994
152,4,False,100.2267452193076,2,34.225758
153,4,False,100.2267452193076,3,46.013886
154,4,False,100.2267452193076,4,53.615888999999996
155,4,False,100.2267452193076,5,55.156383
156,4,False,100.2267452193076,6,76.35491999999999
157,4,False,100.2267452193076,7,85.129038
158,4,False,100.2267452193076,8,86.468598
159,4,False,100.2267452193076,9,84.258324
160,4,False,100.2267452193076,10,79.435908
161,4,False,100.2267452193076,11,94.405491
162,4,False,100.2267452193076,12,95.845518
163,4,False,100.2267452193076,13,87.80815799999999
164,4,False,100.2267452193076,14,135.697428
165,4,False,100.2267452193076,15,114.69982499999999
166,4,False,100.2267452193076,16,156.52758599999999
167,4,False,100.2267452193076,17,142.79709599999998
168,4,False,100.2267452193076,18,254.081043
169,4,False,100.2267452193076,19,238.94401499999998
170,4,False,100.2267452193076,20,247.316265
171,4,False,100.2267452193076,21,274.911201
172,4,False,100.2267452193076,22,303.845697
173,4,False,100.2267452193076,23,272.232081
174,4,False,100.2267452193076,24,236.39885099999998
175,4,False,100.2267452193076,25,229.43313899999998
176,4,False,100.2267452193076,26,253.57870799999998
177,4,False,100.2267452193076,27,251.06703299999998
178,4,False,100.2267452193076,28,275.11213499999997
179,4,False,100.2267452193076,29,247.45022099999997
180,4,False,100.2267452193076,30,287.703999
181,4,False,100.2267452193076,31,261.850491
182,4,False,100.2267452193076,32,293.865975
183,4,False,100.2267452193076,33,326.51775
184,4,False,100.2267452193076,34,289.17751499999997
185,4,False,100.2267452193076,35,284.957901
186,4,False,100.2267452193076,36,357.361119
187,4,False,100.2267452193076,37,373.971663
188,4,False,100.2267452193076,38,355.31829
189,4,False,100.2267452193076,39,373.73724
190,4,False,100.2267452193076,40,355.31829
191,4,False,100.2267452193076,41,404.781543
192,4,False,100.2267452193076,42,359.805816
193,4,False,100.2267452193076,43,339.210081
194,4,False,100.2267452193076,44,393.730173
195,4,False,100.2267452193076,45,304.582455
196,4,False,100.2267452193076,46,330.87131999999997
197,4,False,100.2267452193076,47,353.17499399999997
198,4,False,100.2267452193076,48,339.04263599999996
199,4,False,100.2267452193076,49,302.67358199999995
200,5,False,100.49398775554259,0,720.6497909999999
201,5,False,100.49398775554259,1,697.1405129999999
202,5,False,100.49398775554259,2,674.903817
203,5,False,100.49398775554259,3,710.8375139999999
204,5,False,100.49398775554259,4,692.853921
205,5,False,100.49398775554259,5,763.951068
206,5,False,100.49398775554259,6,822.2219279999999
207,5,False,100.49398775554259,7,770.849802
208,5,False,100.49398775554259,8,767.735325
209,5,False,100.49398775554259,9,817.064622
