LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1,ELLIPSE_X0,ELLIPSE_Y0,ELLIPSE_MAJOR,ELLIPSE_MINOR,ELLIPSE_THETA,ELLIPSE_ASPECTRATIO,AREA,PERIMETER,CIRCULARITY,SOLIDITY,SHAPE_INDEX
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1,Ellipse center x0,Ellipse center y0,Ellipse long axis,Ellipse short axis,Ellipse angle,Ellipse aspect ratio,Area,Perimeter,Circularity,Solidity,Shape index
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1,El. x0,El. y0,El. long axis,El. sh. axis,El. angle,El. a.r.,Area,Perim.,Circ.,Solidity,Shape index
,,,(quality),( ),( ),( ),(frame),,( ),,,(counts),(counts),(counts),(counts),(counts),(counts),,,( ),( ),( ),( ),(radians),,( ^2),( ),,,
ID5888,5888,1,13697.0,1000.0246039278674,204.93509527633788,0.0,46.0,46,66.02946699057462,1,,12.0,12.0,12.0,12.0,164364.0,0.0,0.3991184077428034,Infinity,1.3038143273275702,1.025948180926431,89.26132335861419,47.1689595073594,1.1804207251085121,1.8923742285366174,13697.000000000005,594.0,0.48782317650375145,0.954461517020313,5.075440222396543
ID4867,4867,1,14970.0,998.1613894455578,201.03400133600533,0.0,33.0,33,69.02969648036527,1,,13.0,13.0,13.0,13.0,194610.0,0.0,0.28709182458708526,Infinity,-1.2656329536302353,1.779537133538234,83.21803339624331,57.27659111206475,1.3159319944367562,1.4529152622477606,14970.000000000022,608.0,0.5088906901861071,0.9638476644239142,4.969270970133936
ID4740,4740,1,12428.0,1003.1730769230769,199.0285645317026,0.0,31.0,31,62.89638515441223,1,,10.0,10.0,10.0,10.0,124280.0,0.0,0.1265784154053964,Infinity,1.371047545428273,1.2240479013126608,82.4409418051104,47.069161374822265,1.1512115258518738,1.7514852484541785,12428.000000000051,584.0,0.4579155739680769,0.9426220182790437,5.238563646908982
ID2438,2438,1,13946.0,987.6806252688943,185.26444858740857,0.0,0.0,0,66.62694404457666,1,,14.0,14.0,14.0,14.0,195244.0,0.0,0.03897863886511547,Infinity,0.8000120791583366,1.3273130356250853,77.555988628669,57.30186974862925,1.1635834123078685,1.3534634902646305,13946.000000000013,570.0,0.5393985983005638,0.970122778338146,4.826696875172049
ID4230,4230,1,11298.0,1002.6652504868118,191.28792706673747,0.0,25.0,25,59.96886770737357,1,,9.0,9.0,9.0,9.0,101682.0,0.0,0.42079450025849974,Infinity,-0.040678515520472504,1.6633032014889026,82.44951401617749,43.561506821006354,1.0281029726596238,1.8927149227174678,11298.000000000016,600.0,0.39437459778063927,0.8467361163156724,5.6448247744226006
ID6408,6408,1,16054.0,994.890868319422,215.97975582409367,0.0,52.0,52,71.4852915836158,1,,13.0,13.0,13.0,13.0,208702.0,0.0,0.2396260764458452,Infinity,-0.6154311351474856,4.577557022844334,97.23119572419321,55.203111968597774,1.2613060723662763,1.761335407675985,16053.999999999989,626.0,0.5148070150836541,0.9637990034219839,4.940634240650475
ID4879,4879,1,13115.0,1000.4738848646588,198.6791460160122,0.0,32.0,32,64.61140887877633,1,,12.0,12.0,12.0,12.0,157380.0,0.0,0.01528715289948447,Infinity,0.8316468358528354,1.4664976686365212,79.06150683244066,51.526481943202576,1.2219385942013314,1.5343858895623772,13115.00000000001,596.0,0.4639654480860115,0.9336845477521097,5.204297470518663
