LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
ID2338 ? ID2473,1,2338,2473,91.42386120236912,1.6343046429180745,9.561582567879082,9.561582567879082,4.5,984.4748021716322,182.00860292814016,0.0,
ID5271 ? ID5294,1,5271,5294,10.285762480709213,2.235667939584604,3.20714241665524,3.20714241665524,36.5,997.7979635824831,209.91609545080314,0.0,
ID6483 ? ID6508,1,6483,6508,73.94562991393765,0.5022618026231178,8.599164489294157,8.599164489294157,55.5,997.7082428616236,214.17265602976687,0.0,
ID4740 ? ID4879,1,4740,4879,7.40773106733482,2.2918329999674865,2.721714729235013,2.721714729235013,31.5,1001.8234808938678,198.8538552738574,0.0,
ID3517 ? ID3623,1,3517,3623,134.93328553352484,2.6872826123633677,11.616078750315221,11.616078750315221,15.5,989.6385824179046,187.94202416686775,0.0,
ID7501 ? ID7573,1,7501,7573,11.800131535893533,0.584641604407746,3.4351319531996922,3.4351319531996922,67.5,993.1240406306852,203.99144200991242,0.0,
ID5373 ? ID5472,1,5373,5472,0.0902466101303937,2.863104618211578,0.30041073571094906,0.30041073571094906,39.5,998.0534564986297,208.0489431210604,0.0,
ID6352 ? ID6408,1,6352,6408,12.670292346271918,3.0685855648761433,3.559535411577179,3.559535411577179,51.5,996.1102437866052,214.68333900971652,0.0,
ID2373 ? ID2338,1,2373,2338,49.573710556331925,2.4648492729650244,7.040860072202253,7.040860072202253,3.5,982.1363248783882,176.75078896556792,0.0,
ID3061 ? ID3242,1,3061,3242,48.564181002430416,1.9540053946606444,6.96880054259199,6.96880054259199,10.5,988.6788269374016,195.20664294275522,0.0,
ID4242 ? ID4230,1,4242,4230,217.8655753176813,0.7236324286751784,14.760270164115605,14.760270164115605,24.5,1000.6389657800955,198.38444481255817,0.0,
ID2343 ? ID3060,1,2343,3060,11.978573465240292,2.708808584838124,3.461007579483219,3.461007579483219,7.5,988.4908672559525,191.9281217413949,0.0,
ID4039 ? ID4122,1,4039,4122,4.463754111904486,0.18150770611550615,1.0563799164960122,2.1127598329920243,21.0,990.9467975892378,201.1060992275597,0.0,
ID4879 ? ID4867,1,4879,4867,10.892978641462937,0.9232107648377575,3.3004512784561655,3.3004512784561655,32.5,999.3176371551083,199.85657367600876,0.0,
ID5557 ? ID5556,1,5557,5556,8.933158722407168,1.295668155751267,2.988839025843842,2.988839025843842,41.5,1005.0990012420036,204.06742275186372,0.0,
ID6943 ? ID6993,1,6943,6993,5.067965325930472,2.2795708745031216,2.2512141892610913,2.2512141892610913,59.5,998.0394400906398,212.5748481456721,0.0,
ID4889 ? ID5162,1,4889,5162,2.6493540960552866,1.3384130271592756,1.6276836597002768,1.6276836597002768,34.5,999.4758810256257,202.0483181956771,0.0,
ID6508 ? ID6559,1,6508,6559,38.07960652286025,1.8068080925679535,6.170867566465858,6.170867566465858,56.5,999.4008728697347,209.82094558299278,0.0,
ID7848 ? ID8130,1,7848,8130,7.113666304278195,2.712496830046766,2.6671457223553037,2.6671457223553037,74.5,995.5820987272001,204.81784124187084,0.0,
ID2413 ? ID2379,1,2413,2379,69.04991517682683,0.5050064552179016,8.309627860309199,8.309627860309199,1.5,984.7171646632607,177.52257173577595,0.0,
ID2352 ? ID2343,1,2352,2343,75.25804998632877,1.538988691789445,8.675139767538548,8.675139767538548,6.5,986.507896276835,189.86687575388004,0.0,
ID3474 ? ID3517,1,3474,3517,17.325557484830476,0.18818409363215985,4.162398044977255,4.162398044977255,14.5,987.5969784001234,191.43107051892622,0.0,
ID3744 ? ID3940,1,3744,3940,79.55089891690653,0.2962998428984593,8.919131062884238,8.919131062884238,18.5,992.3170078820173,193.20356685598694,0.0,
ID5556 ? ID5749,1,5556,5749,128.90684907600226,2.660971023440344,11.353715210273783,11.353715210273783,42.5,1000.6942641490311,204.18289682027896,0.0,
ID4183 ? ID4242,1,4183,4242,15.804524480311635,1.4557172495803545,3.975490470408857,3.975490470408857,23.5,996.9381594586894,206.5519940621238,0.0,
ID5472 ? ID5557,1,5472,5557,59.317592018345884,2.629501595678815,7.701791481100088,7.701791481100088,40.5,1000.8905810874883,205.6418220191416,0.0,
ID7712 ? ID7848,1,7712,7848,1.808718236910399,1.5028766851367026,1.3448859568418428,1.3448859568418428,73.5,994.8902567228008,204.46992997136542,0.0,
ID7720 ? ID7712,1,7720,7712,7.036213271003141,2.0037726231433495,2.652586147706261,2.652586147706261,72.5,996.3817490837536,204.79816682733377,0.0,
ID5749 ? ID5872,1,5749,5872,14.631193424585648,2.2057134321696252,3.825074303145711,3.825074303145711,43.5,995.9893067541589,205.11501302806658,0.0,
ID4122 ? ID4183,1,4122,4183,49.82670062840383,0.8210582063829274,7.058803059188139,7.058803059188139,22.5,993.0331097877215,204.88780715644356,0.0,
ID6559 ? ID6553,1,6559,6553,0.3158935073153449,0.4199419236849912,0.5620440439283605,0.5620440439283605,57.5,1002.7187721477885,209.4039403711095,0.0,
ID3440 ? ID3474,1,3440,3474,54.736119159945396,2.9340891752007043,7.398386253768142,7.398386253768142,13.5,986.0432429814184,185.88787602036018,0.0,
ID4230 ? ID4257,1,4230,4257,263.67726957242667,3.0311882859539523,16.23814242986022,16.23814242986022,25.5,999.5894728051619,198.8018414291834,0.0,
ID3940 ? ID4039,1,3940,4039,7.461670435472647,0.5186904960265317,2.7316058345728886,2.7316058345728886,19.5,991.7457686995638,198.8609800037511,0.0,
ID5888 ? ID6051,1,5888,6051,81.74898613798877,1.0250195491874459,3.0138381977137976,9.041514593141393,47.5,998.2778044108063,209.1047401031418,0.0,
ID6051 ? ID6058,1,6051,6058,2.233512747508772,9.747967818360756E-4,1.4944941443541262,1.4944941443541262,49.5,996.2416004099011,213.96331397680615,0.0,
ID7115 ? ID7122,1,7115,7122,4.549951703867484,0.4836753466990499,2.133061579952038,2.133061579952038,63.5,993.0898619223398,209.8839504283941,0.0,
ID3322 ? ID3440,1,3322,3440,16.232693678660908,0.08670732095190825,4.028981717340116,4.028981717340116,12.5,985.0743031149984,184.3982139306106,0.0,
ID4257 ? ID4557,1,4257,4557,5.413300973958581,2.88583368329737,2.326650161489385,2.326650161489385,26.5,997.2124285113284,205.3856499394596,0.0,
ID5294 ? ID5373,1,5294,5373,2.793554430386413,0.9388511144942114,0.83569648054578,1.67139296109156,38.0,997.4490251609275,208.38692731808862,0.0,
ID5872 ? ID5832,1,5872,5832,5.941704021466043,0.45702820272687417,2.437561080561068,2.437561080561068,44.5,997.9112907161,207.4883365826151,0.0,
ID7573 ? ID7618,1,7573,7618,23.759180837911757,2.7661757720147517,4.8743390154883315,4.8743390154883315,68.5,994.1033906379453,204.36796814611102,0.0,
ID7122 ? ID7132,1,7122,7132,0.2518985635271493,0.3180041858170922,0.5018949726059719,0.5018949726059719,64.5,992.2117847281422,208.91550274963618,0.0,
ID8130 ? ID8211,1,8130,8211,16.39432778048095,0.7475886204225176,4.048990958310595,4.048990958310595,75.5,998.4932520804505,205.98484321223185,0.0,
ID3242 ? ID3322,1,3242,3322,49.82137624820758,0.9941541980948281,7.058425904421437,7.058425904421437,11.5,985.5073136418272,189.92014624142814,0.0,
ID6058 ? ID6352,1,6058,6352,3.4983318223776623,2.711495899211493,1.870382801027015,1.870382801027015,50.5,996.6409075899226,214.01958260950295,0.0,
ID7618 ? ID7668,1,7618,7668,19.16673608014846,1.9470413308574734,4.377983106425659,4.377983106425659,69.5,996.6956477124022,204.67002465987176,0.0,
ID4867 ? ID4889,1,4867,4889,1.6176296051751158,1.1926829360587907,1.2718606862290838,1.2718606862290838,33.5,998.418581554321,201.61560224769966,0.0,
ID5162 ? ID5271,1,5162,5271,86.20763045260973,1.9035920920453224,9.284806430540689,9.284806430540689,35.5,999.5876590646315,206.49052355513112,0.0,
ID7706 ? ID7720,1,7706,7720,13.502832705414178,2.7042360791103315,3.6746200763363523,3.6746200763363523,71.5,996.5279558160714,203.04644252132124,0.0,
ID4718 ? ID4674,1,4718,4674,134.75359738405183,0.006266658348793201,11.608341715510093,11.608341715510093,29.5,996.8254608117047,195.9095192412251,0.0,
ID2438 ? ID2413,1,2438,2413,19.413643985912493,NaN,4.406091690592978,4.406091690592978,0.5,987.4154798585274,183.07741660139658,0.0,
ID2379 ? ID2373,1,2379,2373,17.00052867759711,1.4471330129578326,4.123169736694951,4.123169736694951,2.5,980.4767540233785,175.1467329795601,0.0,
ID3060 ? ID3063,1,3060,3063,33.345226923478826,2.945891174739885,5.774532615154133,5.774532615154133,8.5,989.6498421109225,191.49727921119296,0.0,
ID7211 ? ID7501,1,7211,7501,1.7762043554392977,0.056325813000539064,1.332743169346329,1.332743169346329,66.5,993.1797174745248,206.29358576937162,0.0,
ID4557 ? ID4649,1,4557,4649,16.85256070845636,2.947282989800476,4.105187049143603,4.105187049143603,27.5,997.0183821261166,206.30380934259983,0.0,
ID6408 ? ID6543,1,6408,6543,0.06448765002453148,0.47949218354443834,0.2539441868295699,0.2539441868295699,52.5,994.8563536999409,216.10194687756407,0.0,
ID12308 ? ID12380,2,12308,12380,17.81401676452013,2.8781626760688863,4.220665440960718,4.220665440960718,120.5,773.3680310952412,690.7005372781066,0.0,
ID13922 ? ID14109,2,13922,14109,10.855948091496295,0.22146538151564613,3.2948365803930693,3.2948365803930693,140.5,775.2359418080009,692.1621168324219,0.0,
ID16950 ? ID16979,2,16950,16979,27.516522115967913,2.131340967640092,5.245619326253852,5.245619326253852,174.5,780.8714718183223,703.3982847162272,0.0,
ID15489 ? ID15611,2,15489,15611,0.631568989012772,3.010810966444941,0.794713148886296,0.794713148886296,157.5,779.7653807935396,692.228846086279,0.0,
ID7850 ? ID7916,2,7850,7916,202.91889398095557,2.3285514531110216,14.244960301136524,14.244960301136524,70.5,764.1445778330703,703.1316600579758,0.0,
ID13154 ? ID13148,2,13154,13148,9.294691756053329,1.0937351500631163,3.0487196912890053,3.0487196912890053,130.5,773.1358178265734,690.5266303434871,0.0,
ID17217 ? ID17281,2,17217,17281,54.69827275713923,1.1372142874266258,7.395828064330541,7.395828064330541,177.5,777.9071205900495,707.2788860851197,0.0,
ID10062 ? ID10228,2,10062,10228,1.766691409659388,2.9907157216096354,1.3291694435471304,1.3291694435471304,97.5,769.4220276859917,690.4307049679928,0.0,
ID14153 ? ID14228,2,14153,14228,362.7849973817565,1.7939091995260974,19.046915692094522,19.046915692094522,142.5,774.2433202733198,699.742990220881,0.0,
ID11339 ? ID11477,2,11339,11477,64.36952786438424,2.3534798808365176,8.023062249813611,8.023062249813611,109.5,769.4953521389416,688.9564277277402,0.0,
ID17284 ? ID17386,2,17284,17386,67.9099721950658,1.5626352640752819,8.240750705795305,8.240750705795305,179.5,776.4284769712144,704.6634398384822,0.0,
ID5091 ? ID5037,2,5091,5037,131.63991265756493,1.9517529688709463,11.473443801124619,11.473443801124619,32.5,760.2161081362622,702.0175632297938,0.0,
ID10437 ? ID10570,2,10437,10570,7.289376148848642,1.9457546364707758,2.6998844695372877,2.6998844695372877,100.5,768.6974244018302,686.5274332619243,0.0,
ID16724 ? ID16809,2,16724,16809,3.4691770574388165,0.8511299522118553,1.862572698564761,1.862572698564761,172.5,780.9135660767473,696.8536538697606,0.0,
ID11756 ? ID12007,2,11756,12007,5.515690482109611,0.8275222840126182,2.3485507195097175,2.3485507195097175,115.5,772.4307131312289,687.1216936219903,0.0,
ID15750 ? ID15905,2,15750,15905,4.092647921826861,0.21728663102075366,2.0230293922300935,2.0230293922300935,160.5,779.0807472163659,697.6479520356597,0.0,
ID4443 ? ID4615,2,4443,4615,105.92299842385553,1.0704038202866133,10.291889934499666,10.291889934499666,26.5,760.8371366629876,700.4635607630387,0.0,
ID12158 ? ID12308,2,12158,12308,27.15237467368554,2.78668015431947,5.2107940540464215,5.2107940540464215,119.5,773.710331458147,689.9883076497629,0.0,
ID11213 ? ID11339,2,11213,11339,50.439784458813314,1.174421080248342,7.102097187367497,7.102097187367497,108.5,767.361700485671,686.9417447405365,0.0,
ID6715 ? ID6757,2,6715,6757,62.87173720337471,1.4725001597649288,7.9291700198302415,7.9291700198302415,57.5,766.0791137052552,711.0698939031456,0.0,
ID4808 ? ID4914,2,4808,4914,83.46414041514157,2.80654323812953,9.135871081355164,9.135871081355164,30.5,761.4169770623141,697.6394074142081,0.0,
ID5819 ? ID6061,2,5819,6061,201.33435704659715,1.44034158697643,14.189233842832992,14.189233842832992,43.5,754.8686013408644,707.9701219418738,0.0,
ID15641 ? ID15750,2,15641,15750,0.48671933357901553,1.0631079101641983,0.6976527313635456,0.6976527313635456,159.5,779.9876735116436,696.6422587452021,0.0,
ID4267 ? ID4392,2,4267,4392,9.94233821786526,0.8006945034196475,3.153147351118444,3.153147351118444,22.5,761.1611799914226,703.5686694761689,0.0,
ID9279 ? ID9267,2,9279,9267,1.8296246254096773,2.2862440970943645,1.3526361762904604,1.3526361762904604,88.5,769.6664374515094,689.4580812301532,0.0,
ID3463 ? ID3597,2,3463,3597,27.27508587684728,3.124493441831608,5.222555492940911,5.222555492940911,12.5,759.1054965679757,685.6161265215371,0.0,
ID10710 ? ID10791,2,10710,10791,10.088558425038322,0.8045465496477988,3.176249112560021,3.176249112560021,103.5,768.2704585496338,684.1784250307055,0.0,
ID2747 ? ID2650,2,2747,2650,85.03664660289716,2.6118840433508184,9.221531684210447,9.221531684210447,5.5,753.5148212482518,673.2354217895945,0.0,
ID5251 ? ID5426,2,5251,5426,3.0266543642875425,2.4103310535089904,1.7397282443782829,1.7397282443782829,35.5,758.7528278045952,703.3896375164943,0.0,
ID13621 ? ID13555,2,13621,13555,6.01898907772327,2.6464720330860274,2.4533628100473175,2.4533628100473175,135.5,773.6904291443218,694.4218072612468,0.0,
ID14298 ? ID14443,2,14298,14443,29.883854996211486,1.2553330510345222,5.466612753452679,5.466612753452679,144.5,777.7310774928583,693.6681621663777,0.0,
ID14842 ? ID14930,2,14842,14930,6.774296278402904,1.8539908799953888,2.602747832273212,2.602747832273212,150.5,778.6392821457388,696.2067537015607,0.0,
ID6982 ? ID7123,2,6982,7123,20.432228690983237,1.322516253005014,4.520202284299148,4.520202284299148,59.5,772.2083866043428,711.4209963109,0.0,
ID12457 ? ID12499,2,12457,12499,19.968444427330624,1.899715429936357,4.468606542014034,4.468606542014034,122.5,771.0327151530884,691.5735846657793,0.0,
ID16067 ? ID16168,2,16067,16168,83.04873183992412,2.460767730494063,9.113107693861854,9.113107693861854,164.5,780.187691307051,701.2645116557877,0.0,
ID10570 ? ID10695,2,10570,10695,10.600554206725805,2.691816352359253,3.2558492297288284,3.2558492297288284,101.5,768.0183056470839,686.7580847107529,0.0,
ID6120 ? ID6211,2,6120,6211,76.3737775486996,2.633508996585463,8.739209206141,8.739209206141,48.5,762.6208921427503,705.2559241196609,0.0,
ID7277 ? ID7311,2,7277,7311,12.630380315148136,1.2539905232663642,3.5539246355470366,3.5539246355470366,63.5,762.3715823295774,708.2212550255294,0.0,
ID6061 ? ID5975,2,6061,5975,107.10992668490677,2.626344182778082,10.349392575649393,10.349392575649393,44.5,757.6267295817507,705.6012476693883,0.0,
ID4914 ? ID5091,2,4914,5091,23.251680339102485,1.1853605097664566,4.821999620396344,4.821999620396344,31.5,765.5467941805746,701.870807477201,0.0,
ID13847 ? ID13846,2,13847,13846,62.701520280534076,0.8312062758632525,7.918429154859824,7.918429154859824,138.5,776.2640485663233,697.2241659363227,0.0,
ID16557 ? ID16617,2,16557,16617,7.581590627353925,2.3332235882946994,2.7534688353700183,2.7534688353700183,170.5,783.6890951204313,696.5745739550359,0.0,
ID16979 ? ID17058,2,16979,17058,3.909826131978753,2.9253202248014647,1.977328028420867,1.977328028420867,175.5,782.5033375999875,703.040147806671,0.0,
ID7823 ? ID7850,2,7823,7850,19.56804810516197,2.820745227830045,4.423578653665149,4.423578653665149,69.5,759.7292889504291,706.9359386597079,0.0,
ID4439 ? ID4410,2,4439,4410,42.84632606457537,2.8692687842910707,6.545710508766438,6.545710508766438,24.5,762.773043836339,704.5418815576777,0.0,
ID15216 ? ID15332,2,15216,15332,11.906683861614527,0.06748683248959587,3.4506063034797996,3.4506063034797996,155.5,776.5538879795149,689.6795163363911,0.0,
ID6576 ? ID6765,2,6576,6765,56.09177276774058,0.7691041692016712,7.489444089366085,7.489444089366085,52.5,764.4888762051164,711.3656822805962,0.0,
ID6066 ? ID6144,2,6066,6144,195.32063661455246,2.472183125185059,13.975715960713872,13.975715960713872,46.5,759.7637039872113,704.5487243577804,0.0,
ID2674 ? ID2720,2,2674,2720,28.109455028759402,1.3674779951753848,5.301835062387306,5.301835062387306,2.5,753.5984572015634,668.8637379625555,0.0,
ID3861 ? ID3851,2,3861,3851,47.01320939380166,2.8816420873551105,6.856617926777141,6.856617926777141,16.5,759.4978941618845,688.5789921624892,0.0,
ID8578 ? ID8539,2,8578,8539,14.336773479608754,2.605410989059921,3.786393201928288,3.786393201928288,80.5,771.7993590529986,694.9363485196304,0.0,
ID9964 ? ID10062,2,9964,10062,32.82898540686755,2.319867484613833,5.7296584022843415,5.7296584022843415,96.5,770.5242659699711,688.5151358708652,0.0,
ID16299 ? ID16328,2,16299,16328,31.239425512334115,1.9243852581139234,5.58922405279428,5.58922405279428,166.5,784.1122607131505,699.6185806235571,0.0,
ID7935 ? ID7909,2,7935,7909,28.534620556134627,2.523040720653853,5.341780654064207,5.341780654064207,72.5,767.8190351024928,695.6198090586715,0.0,
ID14757 ? ID14842,2,14757,14842,3.91792992102017,2.8430315657771517,1.979376144400091,1.979376144400091,149.5,778.3136208196313,694.8476254405944,0.0,
ID3879 ? ID4043,2,3879,4043,41.26905145769326,2.7434505617765548,6.424099272092023,6.424099272092023,18.5,758.7104922714426,688.5718851331746,0.0,
ID11755 ? ID11756,2,11755,11756,9.679161873976636,3.0602289946952745,3.111135142351845,3.111135142351845,114.5,770.9597027682582,689.1482811800506,0.0,
ID14443 ? ID14511,2,14443,14511,13.234292628170314,1.6805260508873205,3.637896731377942,3.637896731377942,145.5,780.3168053741024,695.4015520468926,0.0,
ID6765 ? ID6647,2,6765,6647,189.08311268337454,2.79599546929391,13.750749531693701,13.750749531693701,53.5,766.8504078898371,714.0617440509473,0.0,
ID3696 ? ID3861,2,3696,3861,40.629359767511296,3.1166403225179633,6.374116391117384,6.374116391117384,15.5,758.608684426502,688.6201174910661,0.0,
ID11476 ? ID11542,2,11476,11542,5.203428438138792,1.5795660824111268,2.2811024611224267,2.2811024611224267,111.5,772.9929126682882,686.4420164314062,0.0,
ID14608 ? ID14757,2,14608,14757,1.9150286023341918,2.306433917807634,1.3838455847146356,1.3838455847146356,148.5,778.040098938474,694.574790390355,0.0,
ID11542 ? ID11566,2,11542,11566,24.437130349132204,3.0387731601816736,4.943392595084089,4.943392595084089,112.5,772.1978912427332,687.5235269182324,0.0,
ID13459 ? ID13436,2,13459,13436,5.81758767320063,2.9897067005093696,2.4119675937293663,2.4119675937293663,133.5,773.7958625018105,692.467832601104,0.0,
ID3179 ? ID3155,2,3179,3155,93.54261327344068,2.7478850121076865,9.671743031813897,9.671743031813897,8.5,752.0407737909509,673.186592589682,0.0,
ID11057 ? ID11213,2,11057,11213,12.196269429262276,2.8852749396088146,3.4923157688362427,3.4923157688362427,107.5,770.8245499947359,684.0338971462962,0.0,
ID16809 ? ID16950,2,16809,16950,55.0441137560545,1.1561221441812723,7.419172039793557,7.419172039793557,173.5,779.201075880579,700.6588384457741,0.0,
ID6221 ? ID6396,2,6221,6396,123.01175359861084,2.5371631368655128,11.09106638689945,11.09106638689945,50.5,762.7955838230821,711.1355503019452,0.0,
ID15905 ? ID15931,2,15905,15931,0.6665655997550723,2.714137622177672,0.8164346879910679,0.8164346879910679,161.5,778.8109505301736,698.2525039849909,0.0,
ID9249 ? ID9279,2,9249,9279,26.010926517735122,3.0675572080729054,5.100090834263162,5.100090834263162,87.5,771.8102123817837,689.1390351958337,0.0,
ID12152 ? ID12158,2,12152,12158,2.0269802504080134,2.6622078435554295,1.4237205661252539,1.4237205661252539,118.5,773.3336951313142,688.0713295259429,0.0,
ID13436 ? ID13621,2,13436,13621,17.377612687393576,3.095028336121076,4.16864638550616,4.16864638550616,134.5,774.0414420267214,693.3143667196458,0.0,
ID8992 ? ID9159,2,8992,9159,4.588717880083383,1.4791645540076894,2.1421292865005563,2.1421292865005563,84.5,774.5082662686189,688.1305336765242,0.0,
ID9224 ? ID9249,2,9224,9249,5.2636936194268795,2.2312390443517773,2.2942740942238964,2.2942740942238964,86.5,773.2181978264764,689.180934916903,0.0,
ID2635 ? ID3179,2,2635,3179,135.4576277219925,3.11445456893409,11.638626539329824,11.638626539329824,7.5,752.2288264892165,675.4752218874921,0.0,
ID4167 ? ID4294,2,4167,4294,123.14798091383602,2.7025811669812034,11.09720599582778,11.09720599582778,20.5,761.2782426214028,693.555247057805,0.0,
ID3399 ? ID3463,2,3399,3463,46.529212637306905,0.8928217321463898,6.821232486677675,6.821232486677675,11.5,758.40963893036,685.2194804575649,0.0,
ID11477 ? ID11476,2,11477,11476,0.8854223961908091,2.4319991419677316,0.9409688603725466,0.9409688603725466,110.5,772.929906346104,687.6703613045902,0.0,
ID4803 ? ID4892,2,4803,4892,25.56913167966024,2.9757860809077847,5.0565928924187915,5.0565928924187915,28.5,759.6339502852347,700.0504385162078,0.0,
ID8068 ? ID8192,2,8068,8192,6.582763798900393,3.015880194610147,2.5656897316122214,2.5656897316122214,74.5,768.2039691123946,695.3198339823844,0.0,
ID4615 ? ID4803,2,4615,4803,43.96580623241368,2.8675811410878653,6.6306716275512905,6.6306716275512905,27.5,758.9498688374825,699.4328814823939,0.0,
ID13148 ? ID13230,2,13148,13230,5.686757732240478,3.1040698817177206,2.3846923768571235,2.3846923768571235,131.5,773.018255312573,690.2120339686263,0.0,
ID15332 ? ID15489,2,15332,15489,30.09930960841819,2.320011869510379,5.486283770314674,5.486283770314674,156.5,778.481898118979,690.2605987237406,0.0,
ID13032 ? ID13154,2,13032,13154,0.16383728725040786,1.422366601032473,0.20238409476192037,0.40476818952384075,129.0,773.6704291545695,692.0635548202245,0.0,
ID8532 ? ID8507,2,8532,8507,0.1223972709487686,1.3655509440413702,0.34985321343210296,0.34985321343210296,77.5,771.3582853635726,693.5641474248279,0.0,
ID12499 ? ID12738,2,12499,12738,43.72981257689485,2.640709171819715,6.61285207583648,6.61285207583648,123.5,771.5754824960353,689.9396183026823,0.0,
ID6396 ? ID6576,2,6396,6576,1.623445453793865,2.8556956174646886,1.2741449893139576,1.2741449893139576,51.5,764.9822241296213,715.5625581649568,0.0,
ID7215 ? ID7297,2,7215,7297,123.667473632286,1.7437777794880671,11.120587827641398,11.120587827641398,61.5,761.6939768264839,707.7971576762302,0.0,
ID9852 ? ID9997,2,9852,9997,2.4044935384367103,2.8429734812640013,1.550642943567832,1.550642943567832,93.5,774.2802998046425,690.8407502088614,0.0,
ID12871 ? ID12880,2,12871,12880,10.696964702287096,2.9328608302433192,3.270621455058212,3.270621455058212,126.5,773.6009905982737,691.2270287504987,0.0,
ID12007 ? ID12020,2,12007,12020,1.4191701258222762,1.3857409082309071,1.191289270421872,1.191289270421872,116.5,773.3125257626893,686.0200943556354,0.0,
ID3851 ? ID3879,2,3851,3879,43.49225373237754,2.996421746029468,6.594865709957826,6.594865709957826,17.5,759.9995316963156,688.5214555495578,0.0,
ID14532 ? ID14608,2,14532,14608,26.25184668806684,3.0251071256205218,5.123655598112235,5.123655598112235,147.5,776.8838853133673,692.7510951477318,0.0,
ID6716 ? ID6715,2,6716,6715,5.252214768133856,1.2439487410403887,2.29177109854668,2.29177109854668,56.5,764.3195889377332,714.9204437723065,0.0,
ID8192 ? ID8341,2,8192,8341,2.2227011177425737,2.6076268831955907,1.4908726027875667,1.4908726027875667,75.5,768.7903535817172,694.8602711366464,0.0,
ID9509 ? ID9566,2,9509,9566,5.434472543352472,0.5148129554628833,2.3311955180448662,2.3311955180448662,90.5,772.4936820665403,692.2859201847234,0.0,
ID3187 ? ID3399,2,3187,3399,102.99366376630829,1.9498916312856582,10.148579396462752,10.148579396462752,10.5,755.0179320830757,678.3211586709103,0.0,
ID12020 ? ID12152,2,12020,12152,10.503686062640444,3.0552340651419767,3.2409390711089348,3.2409390711089348,117.5,773.4626533133383,687.0374054070476,0.0,
ID9997 ? ID9971,2,9997,9971,35.725587262124,1.360478317143323,5.9770885272115555,5.9770885272115555,94.5,771.7179814790773,688.8571867815688,0.0,
ID16597 ? ID16557,2,16597,16557,14.67140667661003,1.5000485544236395,3.830327228398382,3.830327228398382,169.5,782.328987281741,696.3077975405547,0.0,
ID16617 ? ID16724,2,16617,16724,4.320598723898522,2.0696911010223205,2.0786049946775655,2.0786049946775655,171.5,782.6518317508901,697.30288889758,0.0,
ID6692 ? ID6716,2,6692,6716,18.41470291456646,1.8905836135665155,4.291235592992589,4.291235592992589,55.5,764.1411448247852,717.6524063958908,0.0,
