LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,? rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID6543 ? ID6464,1,6543,6464,26.209238623530236,1.1960357589647599,5.119495934516428,5.119495934516428,53.5,996.8595308291074,217.77337064220993,0.0,
ID2473 ? ID2352,1,2473,2352,1.1985028774063649,0.2781293043512763,1.0947615618966373,1.0947615618966373,5.5,983.0762010785595,187.13034095560283,0.0,
ID7668 ? ID7706,1,7668,7706,8.490463405327786,1.743095939166629,2.9138399759300073,2.9138399759300073,70.5,996.6893280480538,202.25741224744294,0.0,
ID3653 ? ID3744,1,3653,3744,98.13228569036553,2.5737597782560404,9.906174119727835,9.906174119727835,17.5,993.5907405228154,183.98128182661566,0.0,
ID4649 ? ID4718,1,4649,4718,41.7113474687562,2.7457453635665465,6.458432276393103,6.458432276393103,28.5,996.3003394362731,204.9275895508132,0.0,
ID6464 ? ID6483,1,6464,6483,1.1983580246225531,2.045357761244104,1.0946954026680449,1.0946954026680449,54.5,998.9927852133958,218.78366245790147,0.0,
ID3063 ? ID3061,1,3063,3061,33.22319887606838,1.797760719975329,5.76395687666627,5.76395687666627,9.5,992.1065995726742,194.11675153470128,0.0,
ID3623 ? ID3653,1,3623,3653,22.95012187079304,0.5438760886245837,4.790628546526337,4.790628546526337,16.5,993.1557208474596,180.80690090927067,0.0,
ID6993 ? ID7115,1,6993,7115,33.56719641651364,1.0457531860505382,1.931240143204293,5.793720429612879,61.5,996.4135125840869,211.87216857321746,0.0,
ID4674 ? ID4740,1,4674,4740,115.40177286604593,2.4888886400061034,10.7425217182022,10.7425217182022,30.5,1000.1744610135142,194.57224925521808,0.0,
ID5832 ? ID5888,1,5832,5888,11.81438776350696,1.8507046203260067,3.437206389425424,3.437206389425424,45.5,999.4673998707534,206.56086296565036,0.0,
ID7132 ? ID7211,1,7132,7211,4.346359883384655,1.4508380700085106,2.0847925276594443,2.0847925276594443,65.5,992.4607768647217,207.84304011927762,0.0,
ID6553 ? ID6943,1,6553,6943,43.60437500191964,3.07789809118335,6.603360886845398,6.603360886845398,58.5,999.9866611720856,210.69378916356658,0.0,
